code	bordersName	stateName
BFO	Burkina Faso	Burkina Faso (Upper Volta)
CAM	Cambodia	Cambodia (Kampuchea)
DRC	Congo, Republic of the	Congo, Democratic Republic of (Zaire)
CZR	Czechia	Czech Republic
GAM	Gambia, The	Gambia
GMY	Germany	German Federal Republic
IRN	Iran	Iran (Persia)
ITA	Italy	Italy/Sardinia
PRK	Korea, North	Korea, People's Republic of
ROK	Korea, South	Korea, Republic of
KYR	Kyrgyzstan	Kyrgyz Republic
RUS	Russia	Russia (Soviet Union)
SUR	Suriname	Surinam
TAZ	Tanzania	Tanzania/Tanganyika
TUR	Turkey	Turkey (Ottoman Empire)
USA	United States	United States of America
DRV	Vietnam	Vietnam, Democratic Republic of
YEM	Yemen	Yemen (Arab Republic of Yemen)
ZIM	Zimbabwe	Zimbabwe (Rhodesia)
